Rank,Network,Address,Prizes,Balance,Winrate
128,0x42e059464f3ba130da6abafee7ad2efe17467e35,polygon,6148,26142,30.65%
129,0x74060aebcddace26962f5614f12428c70e2492ca,polygon,3058,13053,30.53%
130,0xb68037da5a373b739cf61f110468db4df60e35c8,polygon,3026,12979,30.40%
131,0x4971c2d9bfce50de9485bdc1c56f7dd4c458dee1,polygon,207,895,30.10%
132,0x01e49a96dcf1eee6a4095f22b68150d5fea8e0a8,polygon,15,65,30.00%
133,0xc27ffba63dd776c70d000de5a1983f3a6af04348,polygon,15,65,30.00%
134,0xbe80d8c96c0d5b5aed63b370b495650f30be3724,polygon,2970,12879,29.97%
135,0x9c99bf82fc38713c471d4415f66c8336d361501a,polygon,51,222,29.81%
136,0x03b28e16bf0688cd788da115ceed03a12e1e3a0e,polygon,1145,4997,29.39%
137,0x0d19c80723d6f00f4aa7ca9ee9e5b305f6ba662d,polygon,20,88,29.37%
138,0x99fa48ccea8a38cde6b437450ff9bbddafaa4fc8,polygon,100,441,29.30%
139,0xbe260b86e2ee35a406f9154107f242882ab00aee,polygon,120,530,29.27%
140,0x187dcdaac283c78f95a8c2ef3ba611b958f4f3e8,polygon,3377,15053,28.92%
141,0xd04d8d6adcd5eb64febf3423f42ac04e2c8e0cd5,polygon,5,22,28.88%
142,0x728bb9dc48e49708c80d3d400b79fecb55d1852c,polygon,3650,15465,28.87%
143,0x3ed83c8688f98d23a987be2156f97178ea5f621d,polygon,279,1249,28.76%
144,0x7c9f3e156cd790f07cc4691fad4c70bfed17a8c3,polygon,128,573,28.76%
145,0x8632e5f7846d8cce3e36434321814ea7b83b18c3,polygon,100,450,28.57%
146,0xc11997d1b87c88468f4b8488b5f8c05c10d2b9ca,polygon,10,45,28.47%
147,0x04c97fcf119e7c3483869b4f11f2c3168558fa0f,polygon,2764,12578,28.16%
148,0x606e8390e38792e6165275677b7baf26b216c5d5,polygon,56,255,28.13%
149,0x5f6ff76b0ac3b9dad67764795b97b86bbb744039,polygon,71,324,28.12%
150,0x9af4d9d1d47419be75de41b7fcd08ec96f239e6b,polygon,33,128,28.00%
151,0xe04c6ea986f4c498c24d3e3802ef01d4466891ff,polygon,10,46,27.46%
152,0x232cd5ed6c69bfdc4ed9b4c3d8923961ea4b439c,polygon,41,145,27.15%
153,0xd6f6385f9650015def77f5437f2f7c5ee3d2f372,polygon,26,122,27.10%
154,0x2d3e69d03a23560e5f56999f7f100e43a4ba3f27,polygon,648,3047,27.01%
155,0xd01bd6af7777e339bb8996309aa19c6bb76729fc,polygon,20,95,26.76%
156,0x5da68351bd082abda73e42ac981db51d9364fe69,polygon,25,119,26.63%
157,0x7104926c34ecf1b8fe583dcd3c19883b3308d5da,polygon,2663,12648,26.48%
158,0xe99bb31727182cac99d5e93eee071723e821b57d,polygon,395,1878,26.22%
159,0x1cd9ccbd1059740ace1117c22b25a4c21e62faf2,polygon,15,48,26.17%
160,0x7be8688eff7181b292678d74c26b3ff3183c1a1e,polygon,132,638,26.11%
161,0x11b6a5fe2906f3354145613db0d99ceb51f604c9,polygon,902,4397,25.80%
162,0x7d8dd9fee145ebf10ca5e26479f4a32aeb0a0fba,polygon,256,1252,25.71%
163,0x3f39a31f3ee244ee553fbdee44ee8a499a2d6d23,polygon,11,49,25.58%
164,0xea9deac2b00ef46ca21230eda3ddfbff33f21918,polygon,51,251,25.50%
165,0x9b839ab0ce5d936ddd0d2a90a65b8e1f92b33fe5,ethereum,50,247,25.41%
166,0xb35e71b6a5aebb07dfc3aa705968411ebdbc003f,polygon,51,253,25.29%
167,0xbbb0b369d838ae69790da1125c917531c439856f,polygon,10,50,25.28%
168,0xf5bafad4355038fb323fc7a826d63bc6f57bd88a,polygon,140,694,25.26%
169,0xc66a0fe3f77aa6c6bc49a245504788edf573e3e9,polygon,377,1872,25.22%
170,0x868953a29e80e5113b3a2adcef50c3756f48befc,polygon,25,125,25.00%
171,0x60c8eed11cccab1e6d75a825dd9f36d85d855c53,polygon,25,125,25.00%
172,0x174cab72ff9bf6ba3733ebc819fadb4df2903235,polygon,25,125,25.00%
173,0xcd762194c835f469fe008b10f97b41373b301767,polygon,1,5,25.00%
174,0x663de07a0875072a3c2793fd1d66fa7e27c37b58,polygon,2,5,25.00%
175,0xe2c54bf3ec68ea57187bd35fed74dbcf4607af6b,polygon,157,735,24.99%
176,0x7056d02e00a19e6d296ee00c706308384a44fd29,polygon,126,631,24.93%
177,0x547aef0f1e3fd58ef5e83f168ff6ddc35013d5e0,polygon,109,542,24.90%
178,0xefd19b8543f2d46add6d156d4293645ffd32456e,polygon,5,25,24.72%
179,0xca7a7ea3e838fa00fff5b62510f0e3623ae6606d,polygon,3951,19941,24.71%
180,0x02618b197ec28026cc05d97c4501d3113c4b5722,polygon,195,995,24.37%
181,0xc28bbeb8dcf086aeaf6e50259c553288a16e2a97,polygon,7043,36883,23.60%
182,0x1f5f84940f3d5dfb72cf4df10df3234f02794ca9,polygon,3166,16654,23.43%
183,0x25744247a760dd8c73eaa81307e1ff827e8bcfa3,polygon,25,132,23.29%
184,0x84a63fe72b485eaca6785f8ebb1f9e94fb4f2ade,polygon,4700,24660,23.08%
185,0xf756483233a6d7d85fd358603310af8544fd326d,polygon,47,252,22.89%
186,0x685c66df2a77fbc188371b3470d5a2adca538a03,polygon,6160,31961,22.87%
187,0x1d9cb1a0e75045f18201ffe68deb7f8bc20272e8,polygon,2296,12289,22.85%
188,0x9b69884fc0acd4c52cd277bd662f1d17b18a4db6,polygon,1162,6278,22.71%
189,0xc517d047fd40ebf95d8ab89980097de2127050fc,polygon,2819,15241,22.69%
190,0x35bcc551d70145081b8d5532b9f0ba9ea7241ae3,polygon,5,27,22.47%
191,0x915e0833be6713260af1ccf7467a37411fb790c0,polygon,3588,19553,22.40%
192,0x69b2cd97b2fb301d81faec9fc05a8662ce97c25c,polygon,3592,19542,22.37%
193,0xb3b376fe733f09c6fe05c274cbee8e80d29cfd39,polygon,51,274,22.36%
194,0x719f321251f939aacff1e98801a67bfcb6cea7a8,polygon,3733,20486,22.28%
195,0x8b5f0a166edba65a7fcdc3cfd7643cbe54dd55e9,polygon,296,1624,22.28%
196,0xd4206305bc1ecf165570256c029e246ccb73e630,polygon,10,55,22.22%
197,0x8c70a86c5b21deb6b52c7cea861fe0108d59160a,polygon,10,55,22.22%
198,0x968e134be5f22ff7fe5062e39bf17d8cb2071da0,polygon,3545,19520,22.15%
199,0xb42b583709239c87308596bb5d30d826213f8fa7,polygon,10,55,22.11%
200,0x9b69884fc0acd4c52cd277bd662f1d17b18a4db6,avalanche,1141,6271,22.00%
201,0x1674aca0220c10afc4b70cbb2721b3613974bd9f,polygon,3646,20090,21.91%
